file,responseAverage,responseMin,responseMax,responseSd,dnsAverage,dnsMin,dnsMax,dnsSd,firstByteAverage,firstByteMin,firstByteMax,firstByteSd,started,completed,testsTotal,testsFailed,responseTime,responseSize
newman-run-report-2023-04-26-19-53-33-177-0.json,3083.333333,1923,5549,1232.123461,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,18500,43454
newman-run-report-2023-04-26-19-53-33-214-0.json,3008.666667,1849,5436,1263.875082,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,18052,43454
newman-run-report-2023-04-26-19-53-33-232-0.json,2797.833333,1455,3957,879.1872036,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,16787,43454
newman-run-report-2023-04-26-19-53-34-190-0.json,3151.833333,1860,5455,1310.787984,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,18911,43454
newman-run-report-2023-04-26-19-53-34-209-0.json,3374,2248,5529,1171.065185,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,20244,43454
newman-run-report-2023-04-26-19-53-34-228-0.json,3059,1986,4162,844.9875739,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,18354,43454
newman-run-report-2023-04-26-19-53-34-252-0.json,2938.666667,1461,4162,934.0233164,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17632,43454
newman-run-report-2023-04-26-19-53-34-267-0.json,3157.166667,1868,5474,1320.803091,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,18943,43454
newman-run-report-2023-04-26-19-53-34-284-0.json,3386.333333,2161,5457,1277.845931,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,20318,43454
newman-run-report-2023-04-26-19-53-34-300-0.json,3121.5,2161,4716,938.5056828,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,18729,43454
newman-run-report-2023-04-26-19-53-34-434-0.json,3274,1543,8164,2308.431502,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,19644,43454
newman-run-report-2023-04-26-19-53-34-456-0.json,2940,1467,4184,931.3440109,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17640,43454
newman-run-report-2023-04-26-19-53-34-481-0.json,2942.333333,1479,4188,926.7071934,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17654,43454
newman-run-report-2023-04-26-19-53-35-473-0.json,3320,1839,5404,1283.177956,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,19920,43454
newman-run-report-2023-04-26-19-53-35-494-0.json,3242.333333,2175,4704,898.4443345,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,19454,43454
newman-run-report-2023-04-26-19-53-35-513-0.json,3225.666667,2171,4711,896.6908919,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,19354,43454
newman-run-report-2023-04-26-19-53-35-542-0.json,3323.333333,1842,5399,1282.925,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,19940,43454
newman-run-report-2023-04-26-19-53-35-561-0.json,3512.666667,1991,5488,1275.079431,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,21076,43454
